#VERSION +0005.2100000000 Remove this line to ignore version
#EditorRunning NO
0000000000000384 ff 00000000 00000000
#SEEDMT 003b59e8 00005c46
##Remove one '#' from following line to replay fast
##FASTPLAY 1
#HASH data\config.txt = 4a4b9534
#HASH data\game.dat = faac9706
#HASH data\ability.dat = 91ea522d
#HASH data\baseclass.dat = 29cb9a9a
#HASH data\classes.dat = 938c79b3
#HASH data\items.dat = bb445749
#HASH data\monsters.dat = 51ddae4a
#HASH data\races.dat = 2146bb32
#HASH data\specialAbilities.dat = 2c434b21
#HASH data\spells.dat = e3314243
#HASH data\AI_Script.BLK = 95845e0c
#HASH data\Level001 - Copy (2).lvl = fbc166ea
#HASH data\Level001 - Copy (3).lvl = 6c6d7a9f
#HASH data\Level001 - Copy.lvl = 93989ac3
#HASH data\Level001.lvl = c0848f42
#HASH data\Level002.lvl = d79352da
0000000000000384 02 01330126 00005c46
0000000000000d3e 02 00fe00e4 000160b0
00000000000011b2 01 00000028 0001dff2
0000000000001914 02 003c0067 0002a49d
0000000000001e96 01 00000058 00033e20
0000000000002a30 01 00000042 000475ee
0000000000002efe 01 00000025 0005018b
0000000000003084 01 00000026 00052fec
00000000000030a2 01 00000025 00056e1c
0000000000003372 01 0000000d 0005bc68
00000000000034f8 01 00000025 0005e9b9
0000000000003660 01 00000026 00061511
0000000000003822 01 00000026 000679d1
000000000000394e 01 00000027 0006cf64
0000000000003d0e 01 00000026 00073770
0000000000003ffc 01 00000027 0007bc9c
00000000000040b0 01 00000027 0007d5be
00000000000041fa 01 00000026 0007fe0d
00000000000042ae 01 00000026 0008477c
00000000000045ba 01 00000027 0008cec4
0000000000004650 01 00000027 0008e365
0000000000004704 01 00000027 0008fb0f
0000000000004a2e 01 0000000d 00095276
00000000000050dc 01 00000059 000a0608
000000000000529e 01 00000025 000a3db0
0000000000005352 01 00000025 000a56d2
0000000000005460 01 00000026 000a790f
000000000000558c 01 00000026 000acea2
0000000000005ece 01 00000026 000bf7b4
00000000000061bc 01 0000000d 000c7be6
00000000000062ca 01 00000027 000c9d13
0000000000006342 01 00000027 000cb023
0000000000006450 01 00000026 000cd260
0000000000006630 01 00000026 000d3c3b
000000000000693c 01 00000057 000dc25e
0000000000006d38 01 00000045 000e2f04
0000000000007170 01 00000051 000ea6c3
0000000000007530 01 00000059 000f125e
00000000000078b4 01 0000000d 000f78a5
