#VERSION +0005.2100000000 Remove this line to ignore version
#EditorRunning NO
0000000000000258 ff 00000000 00000000
#SEEDMT 00d10d45 00003dec
##Remove one '#' from following line to replay fast
##FASTPLAY 1
#HASH data\config.txt = 4a4b9534
#HASH data\game.dat = faac9706
#HASH data\ability.dat = 51c41278
#HASH data\baseclass.dat = 29cb9a9a
#HASH data\classes.dat = 938c79b3
#HASH data\items.dat = bb445749
#HASH data\monsters.dat = 51ddae4a
#HASH data\races.dat = 2146bb32
#HASH data\specialAbilities.dat = 24edf472
#HASH data\spells.dat = e3314243
#HASH data\AI_Script.BLK = 95845e0c
#HASH data\Level001 - Copy (2).lvl = fbc166ea
#HASH data\Level001 - Copy (3).lvl = 6c6d7a9f
#HASH data\Level001 - Copy.lvl = 93989ac3
#HASH data\Level001.lvl = 8c1eb390
#HASH data\Level002.lvl = d79352da
0000000000000258 02 01920177 00003dec
0000000000000cc6 02 010a00e4 0001548c
000000000000187e 02 004900ba 00028ffc
0000000000001b6c 02 004100de 0002e6b9
00000000000027f6 02 00f80177 0004384d
000000000000459c 01 00000025 000748dc
00000000000047b8 01 00000025 0007866a
0000000000004b00 01 00000027 0007e252
0000000000004ea2 01 00000025 00084755
0000000000004f74 01 00000026 00086380
00000000000053e8 01 00000026 000910e5
0000000000005ad2 01 00000045 0009fc56
0000000000005c1c 01 00000058 000a232d
00000000000064aa 01 00000059 000b0b39
00000000000066c6 01 00000027 000b4bfc
000000000000693c 01 00000026 000b92a5
0000000000006cfc 01 00000026 000c2afe
00000000000082aa 01 00000026 000e7ffc
00000000000083f4 01 00000025 000ea7fd
0000000000008598 01 00000025 000ed7ef
00000000000096d2 01 00000025 0010d59d
00000000000098d0 01 00000025 001118de
000000000000a794 01 00000025 0012b861
000000000000d020 01 00000020 0016e6df
000000000000d692 01 0000000d 00179342
000000000000d926 01 00000027 0017dc99
000000000000daac 01 00000027 00180982
000000000000db60 01 00000027 0018212c
0000000000011a8a 01 00000058 001e8a93
0000000000012246 01 00000059 001f5d60
0000000000012552 01 00000027 001fe486
0000000000012606 01 00000027 001ffda8
0000000000012714 01 00000026 00201fe5
0000000000012822 01 00000025 0020726f
0000000000012912 01 00000025 002091a3
00000000000131fa 02 000b005b 00217f3b
000000000001384e 01 00000045 00222a13
0000000000013c86 01 00000051 0022a1d2
00000000000140dc 01 00000059 00231c9a
00000000000144ba 01 0000000d 00238bfc
