#VERSION +0005.2100000000 Remove this line to ignore version
#EditorRunning YES
0000000000000258 ff 00000000 00000000
#SEEDMT 004674ae 00003dec
##Remove one '#' from following line to replay fast
##FASTPLAY 1
#HASH data\config.txt = 4a4b9534
#HASH data\game.dat = e081bb63
#HASH data\ability.dat = 347798dd
#HASH data\baseclass.dat = 29cb9a9a
#HASH data\classes.dat = 938c79b3
#HASH data\items.dat = c23ece28
#HASH data\monsters.dat = 2bf7bf04
#HASH data\races.dat = 2146bb32
#HASH data\specialAbilities.dat = 527f56bd
#HASH data\spells.dat = 409eccf7
#HASH data\AI_Script.BLK = 95845e0c
#HASH data\Level001.lvl = 6888438e
#HASH data\Level002.lvl = d79352da
0000000000000258 02 01530156 00003dec
0000000000000834 02 00f30100 0000de2d
0000000000000b40 02 00ee0100 00013903
0000000000000f78 02 004301ce 0001ad39
000000000000113a 02 003b01d1 0001e1b2
00000000000016f8 02 00dd00ea 000281af
0000000000001a5e 02 004e0066 0002e5a0
000000000000201c 02 004100d8 00038535
0000000000002256 02 004300df 0003c5d2
0000000000002b5c 02 00f10171 0004bc58
00000000000032be 01 00000027 00058c39
00000000000035ac 01 00000026 0005df06
00000000000044e8 01 0000000d 0007a4bf
000000000000495c 01 00000028 00081df1
0000000000004a10 01 00000028 00083713
0000000000004c68 01 00000028 00087ab3
0000000000004ede 01 00000026 0008c15c
0000000000004fec 01 00000027 000913e6
00000000000050a0 01 00000027 00092d08
0000000000005226 01 00000026 00095b69
0000000000006db0 01 0000000d 000c5cfd
000000000000ea42 01 00000028 0018fd38
000000000000ebaa 01 00000026 00192890
000000000000f348 01 00000027 001a2512
000000000000f4ec 01 00000027 001a567c
000000000000fb5e 01 00000026 001b0457
0000000000010338 01 0000000d 001c0803
000000000001078e 01 00000026 001c7e2c
0000000000010932 01 00000027 001cdfe3
00000000000109e6 01 00000027 001cf905
0000000000010c02 01 00000026 001d3693
0000000000011328 01 0000000d 001e2809
0000000000013434 01 00000058 002185cf
000000000001da7e 01 00000045 00325e26
000000000001dfe2 01 00000051 0032f43f
000000000001eae6 01 00000059 00341c08
000000000001edb6 01 0000000d 00347019
