#VERSION +0005.2100000000 Remove this line to ignore version
#EditorRunning NO
0000000000000348 ff 00000000 00000000
#SEEDMT 0011beb9 00005634
##Remove one '#' from following line to replay fast
##FASTPLAY 1
#HASH data\config.txt = 4a4b9534
#HASH data\game.dat = faac9706
#HASH data\ability.dat = 751a99f3
#HASH data\baseclass.dat = 29cb9a9a
#HASH data\classes.dat = 938c79b3
#HASH data\items.dat = 4413b586
#HASH data\monsters.dat = 51ddae4a
#HASH data\races.dat = 2146bb32
#HASH data\specialAbilities.dat = 527f56bd
#HASH data\spells.dat = e3314243
#HASH data\AI_Script.BLK = 95845e0c
#HASH data\Level001 - Copy (2).lvl = fbc166ea
#HASH data\Level001 - Copy.lvl = 93989ac3
#HASH data\Level001.lvl = af2cf7c9
#HASH data\Level002.lvl = d79352da
0000000000000348 02 016a0114 00005634
00000000000018f6 02 00fe00e4 00029034
0000000000001f4a 02 002d0063 00034006
00000000000021c0 02 00430060 000386b5
0000000000002670 02 005100db 00040af9
00000000000028e6 02 004b00dc 000451a8
0000000000002d78 02 00f40174 0004d4d8
0000000000004254 02 011b017e 0006fbf6
0000000000007332 02 00d30174 000bf87b
0000000000008304 01 00000027 000da2e4
000000000000846c 01 00000027 000dce3c
000000000000855c 01 00000026 000ded70
0000000000008976 01 00000025 000e91ba
0000000000008a0c 01 00000025 000ea7d3
0000000000008b1a 01 00000026 000eca10
0000000000008c64 01 00000027 000f22ac
0000000000008dae 01 00000027 000f4afb
000000000000f618 01 00000026 0019e23a
000000000000fa6e 01 00000026 001a89c0
000000000000fca8 01 00000027 001afaa4
000000000000fd5c 01 00000027 001b13c6
000000000000fe88 01 00000026 001b390c
000000000001000e 01 00000025 001b97ba
0000000000010176 01 00000026 001bc312
0000000000010392 01 00000027 001c30ed
00000000000105cc 01 00000026 001c7184
00000000000106da 01 00000027 001cc40e
0000000000012c3c 01 00000045 00209331
0000000000012c96 01 00000045 0020a6c7
0000000000012cd2 01 00000058 0020b24d
0000000000013380 01 00000045 00216914
0000000000013704 01 00000051 0021ce9d
0000000000014028 01 00000059 0022c5d6
00000000000144ba 01 0000000d 0023476e
