#VERSION +0005.2600000000 Remove this line to ignore version
#EditorRunning NO
0000000000000384 ff 00000000 00000000
#SEEDMT 028a8e3c 0000593d
##Remove one '#' from following line to replay fast
##FASTPLAY 1
#HASH data\config.txt = 4a4b9534
#HASH data\game.dat = d2c7e88f
#HASH data\ability.dat = 6b76817e
#HASH data\baseclass.dat = 29cb9a9a
#HASH data\classes.dat = 938c79b3
#HASH data\items.dat = 562515bc
#HASH data\monsters.dat = 23a2fa0d
#HASH data\races.dat = 2146bb32
#HASH data\specialAbilities.dat = a9d8bb00
#HASH data\spells.dat = e3964fbe
#HASH data\AI_Script.BLK = 95845e0c
#HASH data\Level001 - Copy (2).lvl = fbc166ea
#HASH data\Level001 - Copy (3).lvl = 6c6d7a9f
#HASH data\Level001 - Copy.lvl = 93989ac3
#HASH data\Level001.lvl = 4765c159
#HASH data\Level002.lvl = d79352da
0000000000000384 02 014100ef 0000593d
00000000000009d8 02 011100f8 000105a2
0000000000000d98 01 00000058 000172ae
00000000000012fc 02 00f800e0 00020812
0000000000001608 02 00300049 000262e8
0000000000001770 02 00390062 00028e46
00000000000018d8 02 003a0070 0002bd8e
0000000000001a7c 02 0042008e 0002f2e8
0000000000001dc4 02 004300cb 000352c0
000000000000201c 01 00000044 00039c45
0000000000002742 01 0000004e 00045fe5
0000000000002922 01 00000026 00049a48
0000000000002a12 01 00000026 0004b804
0000000000002a30 01 00000028 0004c081
0000000000002ac6 01 00000028 0004d522
0000000000002b5c 01 00000028 0004e9c3
0000000000002c10 01 00000028 0005016d
0000000000002db4 01 00000027 0005315f
0000000000002f1c 01 00000027 00055b3f
0000000000002fee 01 00000025 000575f2
0000000000003138 01 00000025 00059cc9
0000000000003b88 01 00000025 0006ad55
0000000000003d86 01 00000056 0006e662
0000000000005fa0 01 00000044 000a6418
0000000000006306 01 00000058 000ac68b
000000000000639c 01 00000058 000adf7e
00000000000067d4 01 00000058 000b5695
0000000000006a68 01 0000000d 000ba3d6
