#VERSION +0005.2600000000 Remove this line to ignore version
#EditorRunning NO
00000000000000d2 ff 00000000 00000000
#SEEDMT 009f6607 00001677
##Remove one '#' from following line to replay fast
##FASTPLAY 1
#HASH data\config.txt = 4a4b9534
#HASH data\game.dat = d2c7e88f
#HASH data\ability.dat = 61ca5a0f
#HASH data\baseclass.dat = 29cb9a9a
#HASH data\classes.dat = 938c79b3
#HASH data\items.dat = 562515bc
#HASH data\monsters.dat = 23a2fa0d
#HASH data\races.dat = 2146bb32
#HASH data\specialAbilities.dat = a9d8bb00
#HASH data\spells.dat = e3964fbe
#HASH data\AI_Script.BLK = 95845e0c
#HASH data\Level001 - Copy (2).lvl = fbc166ea
#HASH data\Level001 - Copy (3).lvl = 6c6d7a9f
#HASH data\Level001 - Copy.lvl = 93989ac3
#HASH data\Level001.lvl = bd230988
#HASH data\Level002.lvl = d79352da
00000000000000d2 02 0187010f 00001677
00000000000006ae 02 010800c1 0000b6b8
0000000000000b9a 01 0000004c 00013d24
0000000000000f3c 01 00000043 0001a5a9
0000000000001de2 01 00000058 0003459b
00000000000023fa 01 00000026 0003ed35
0000000000002fd0 01 00000044 00054615
0000000000003bc4 01 00000045 00069a09
00000000000042cc 01 00000027 00076e83
0000000000004f56 01 00000027 0008c68a
0000000000005ad2 01 00000058 0009f69a
0000000000005e1a 01 00000041 000a555c
00000000000060ae 01 00000025 000aa29d
0000000000006432 01 00000025 000b031f
00000000000064aa 01 00000025 000b14b7
0000000000006522 01 00000025 000b264f
000000000000657c 01 00000025 000b34de
000000000000673e 01 00000027 000b67d9
00000000000067d4 01 00000027 000b7c7a
0000000000006b94 01 0000004d 000be30e
0000000000006f54 01 00000025 000c4f0c
000000000000855c 01 00000025 000e8f1c
00000000000088c2 01 00000025 000eec95
0000000000009402 01 00000027 00101569
000000000000981c 01 00000025 00108518
0000000000009e8e 01 0000005a 0011317b
