#VERSION +0005.2100000000 Remove this line to ignore version
#EditorRunning NO
00000000000047d6 ff 00000000 00000000
#SEEDMT 0040863f 000745c5
##Remove one '#' from following line to replay fast
##FASTPLAY 1
#HASH data\config.txt = 4a4b9534
#HASH data\game.dat = dbb876de
#HASH data\ability.dat = e50255f1
#HASH data\baseclass.dat = 29cb9a9a
#HASH data\classes.dat = 938c79b3
#HASH data\items.dat = f9a2a4c7
#HASH data\monsters.dat = 055b11e3
#HASH data\races.dat = 2146bb32
#HASH data\specialAbilities.dat = 527f56bd
#HASH data\spells.dat = 79458fbe
#HASH data\AI_Script.BLK = 95845e0c
#HASH data\Level001.lvl = 0d3c7484
#HASH data\Level002.lvl = d79352da
00000000000047d6 02 00e80051 000745c5
000000000000754e 02 00f200f6 000be7e8
00000000000081ba 01 00000058 000d358e
00000000000087b4 02 00ee00e5 000dda1f
0000000000008e80 02 004d004c 000e9615
0000000000009e8e 02 00da004e 001040c2
000000000000a794 01 00000058 00113169
000000000000c42c 01 00000042 00142150
000000000000d25a 01 00000026 00159fbd
000000000000da52 01 00000058 001674bf
000000000000ec9a 01 00000028 00188724
000000000000ecb8 01 00000026 00189119
000000000000f01e 01 00000025 00192057
000000000000f10e 01 00000025 00193f8b
000000000000f3de 01 00000026 00198f4f
000000000000f546 01 00000026 0019eaf4
000000000000fd20 01 00000058 001abced
000000000000fff0 01 00000026 001b3d43
0000000000010536 01 00000058 001bcc76
0000000000010770 01 00000026 001c3d9f
0000000000010842 02 01e8002d 001c597c
000000000001130a 01 00000058 001d77aa
00000000000115bc 01 00000026 001df4f7
00000000000120c0 01 00000058 001f18e3
0000000000013326 01 00000045 00212ce6
00000000000136e6 01 00000051 00219881
0000000000014028 01 00000059 002292c3
0000000000014514 02 00ad019e 00231d76
000000000001496a 02 00a50132 002394b5
0000000000014cee 02 00f800d0 0023f6b5
00000000000151da 01 0000000d 00247d21
