#VERSION +0005.2100000000 Remove this line to ignore version
#EditorRunning NO
0000000000000474 ff 00000000 00000000
#SEEDMT 01fcc76f 0000748e
##Remove one '#' from following line to replay fast
##FASTPLAY 1
#HASH data\config.txt = 4a4b9534
#HASH data\game.dat = faac9706
#HASH data\ability.dat = d5dd8948
#HASH data\baseclass.dat = 29cb9a9a
#HASH data\classes.dat = 938c79b3
#HASH data\items.dat = bb445749
#HASH data\monsters.dat = 51ddae4a
#HASH data\races.dat = 2146bb32
#HASH data\specialAbilities.dat = 5d627d54
#HASH data\spells.dat = e3314243
#HASH data\AI_Script.BLK = 95845e0c
#HASH data\Level001 - Copy (2).lvl = fbc166ea
#HASH data\Level001 - Copy (3).lvl = 6c6d7a9f
#HASH data\Level001 - Copy.lvl = 93989ac3
#HASH data\Level001.lvl = fcdc7a43
#HASH data\Level002.lvl = d79352da
0000000000000474 02 01760138 0000748e
0000000000000b22 02 00d100eb 00012a0e
00000000000010c2 02 004b0066 0001c7aa
00000000000017ca 02 004a00df 000288a2
0000000000001e5a 02 00f5017a 00033f6b
00000000000021fc 01 00000027 0003ae2c
00000000000022ce 01 00000027 0003ca57
0000000000002436 01 00000027 0003f5af
0000000000002526 01 00000026 000414e3
0000000000002544 01 00000025 00045313
000000000000277e 01 0000000d 00049232
000000000000286e 01 00000025 0004b056
00000000000029f4 01 00000026 0004deb7
0000000000002b5c 01 00000026 00053a5c
0000000000002ca6 01 00000026 000592f8
0000000000002dd2 01 00000025 0005e88b
0000000000002ec2 01 00000026 000607bf
000000000000300c 01 0000000d 00066173
0000000000003156 01 00000025 000688b2
00000000000037c8 01 00000026 0007368d
