#VERSION +0005.2100000000 Remove this line to ignore version
#EditorRunning NO
0000000000000294 ff 00000000 00000000
#SEEDMT 000fb1c2 000043fe
##Remove one '#' from following line to replay fast
##FASTPLAY 1
#HASH data\config.txt = 4a4b9534
#HASH data\game.dat = faac9706
#HASH data\ability.dat = 9ddde375
#HASH data\baseclass.dat = 29cb9a9a
#HASH data\classes.dat = 938c79b3
#HASH data\items.dat = 4413b586
#HASH data\monsters.dat = 51ddae4a
#HASH data\races.dat = 2146bb32
#HASH data\specialAbilities.dat = 527f56bd
#HASH data\spells.dat = e3314243
#HASH data\AI_Script.BLK = 95845e0c
#HASH data\Level001 - Copy (2).lvl = fbc166ea
#HASH data\Level001 - Copy.lvl = 93989ac3
#HASH data\Level001.lvl = a2597a9f
#HASH data\Level002.lvl = d79352da
0000000000000294 02 016a0111 000043fe
0000000000000960 02 010b00e4 0000fc87
0000000000000d98 02 004c0073 000175b7
0000000000000f00 02 004a006a 0001a115
000000000000100e 02 00490067 0001c742
00000000000017ca 02 00420066 00029a70
00000000000019e6 01 00000058 0002dbee
0000000000001f68 01 00000042 000375e8
0000000000002472 01 00000025 00040797
0000000000002652 01 00000026 00043f13
00000000000039a8 01 00000027 00066f07
0000000000003a5c 01 00000027 000686b1
0000000000003d2c 01 0000000d 0006d4fd
0000000000004aa6 01 00000045 000837e4
0000000000004cc2 01 00000058 00087901
0000000000004fec 01 00000045 0008d4ba
00000000000051ea 01 00000051 000912ce
00000000000055c8 01 00000059 00098172
0000000000005a3c 01 0000000d 000a0001
