#VERSION +0005.2100000000 Remove this line to ignore version
#EditorRunning YES
00000000000002ee ff 00000000 00000000
#SEEDMT 01f38f06 00004d19
##Remove one '#' from following line to replay fast
##FASTPLAY 1
#HASH data\config.txt = 4a4b9534
#HASH data\game.dat = faac9706
#HASH data\ability.dat = 2e5bb42c
#HASH data\baseclass.dat = 29cb9a9a
#HASH data\classes.dat = 938c79b3
#HASH data\items.dat = bb445749
#HASH data\monsters.dat = 51ddae4a
#HASH data\races.dat = 8509c3a3
#HASH data\specialAbilities.dat = 5d627d54
#HASH data\spells.dat = e3314243
#HASH data\AI_Script.BLK = 95845e0c
#HASH data\Level001 - Copy (2).lvl = fbc166ea
#HASH data\Level001 - Copy (3).lvl = 6c6d7a9f
#HASH data\Level001 - Copy.lvl = 93989ac3
#HASH data\Level001.lvl = fcdc7a43
#HASH data\Level002.lvl = d79352da
00000000000002ee 02 019e014c 00004d19
0000000000000d3e 02 00f800e6 000160b0
0000000000001374 02 00460051 00020d79
0000000000001932 02 004e00e2 0002ad0e
0000000000001f2c 02 00f50179 000354aa
00000000000022ce 01 00000027 0003c36b
0000000000002382 01 00000027 0003dc8d
0000000000002526 01 00000026 00040df7
0000000000002904 01 00000026 0004ac2f
00000000000035e8 01 00000027 0006326b
000000000000367e 01 00000027 0006470c
0000000000003750 01 00000027 000661bf
00000000000038f4 01 0000000d 000691b1
0000000000003d68 01 0000000d 00070b98
00000000000040ce 01 00000026 000769d4
00000000000044ac 01 0000000d 0008064e
000000000000459c 01 00000027 00082472
0000000000004632 01 00000027 00083a8b
00000000000048c6 01 00000026 0008843d
0000000000004d76 01 00000027 00093603
0000000000004dee 01 00000027 0009479b
0000000000004e84 01 00000027 00095c3c
0000000000005064 01 0000000d 00099240
0000000000005550 01 00000027 000a184b
00000000000057a8 01 00000025 000a5a73
0000000000005898 01 0000000d 000a782f
0000000000005a3c 01 00000026 000aa8e4
0000000000005ba4 01 00000025 000b0489
0000000000005d48 01 00000025 000b35f3
00000000000078b4 01 0000001b 000e0319
000000000000866a 01 00000045 000f6baa
0000000000008b1a 01 00000051 000fef8d
0000000000008fac 01 00000059 00107067
000000000000943e 01 0000000d 0010f1ff
