#VERSION +0005.2600000000 Remove this line to ignore version
#EditorRunning NO
00000000000006ea ff 00000000 00000000
#SEEDMT 004ec7b9 0000b44b
##Remove one '#' from following line to replay fast
##FASTPLAY 1
#HASH data\config.txt = 4a4b9534
#HASH data\game.dat = d2c7e88f
#HASH data\ability.dat = 61ca5a0f
#HASH data\baseclass.dat = 29cb9a9a
#HASH data\classes.dat = 938c79b3
#HASH data\items.dat = 562515bc
#HASH data\monsters.dat = 23a2fa0d
#HASH data\races.dat = 2146bb32
#HASH data\specialAbilities.dat = a9d8bb00
#HASH data\spells.dat = e3964fbe
#HASH data\AI_Script.BLK = 95845e0c
#HASH data\Level001 - Copy (2).lvl = fbc166ea
#HASH data\Level001 - Copy (3).lvl = 6c6d7a9f
#HASH data\Level001 - Copy.lvl = 93989ac3
#HASH data\Level001.lvl = bd230988
#HASH data\Level002.lvl = d79352da
00000000000006ea 02 01e300a2 0000b44b
0000000000000bf4 02 011300fa 00013f4d
0000000000001446 02 003401d4 000222b8
0000000000001d4c 02 003901d4 0003135f
0000000000002094 01 00000027 00038e66
00000000000022ce 01 00000027 0003cd85
0000000000002382 01 00000027 0003e52f
0000000000002580 01 00000027 00041e3c
0000000000002616 01 00000027 000432dd
00000000000026ca 01 00000027 00044a87
00000000000028e6 01 00000025 0004869d
000000000000299a 01 00000025 00049e47
0000000000002a30 01 00000025 0004b2e8
00000000000036d8 01 00000058 00060028
0000000000003a5c 01 00000027 000664fc
0000000000004038 01 00000026 000703aa
00000000000044ca 01 00000026 0007b418
