#VERSION +0005.2100000000 Remove this line to ignore version
#EditorRunning NO
0000000000000d02 ff 00000000 00000000
#SEEDMT 0010f00f 0001521f
##Remove one '#' from following line to replay fast
##FASTPLAY 1
#HASH data\config.txt = 4a4b9534
#HASH data\game.dat = faac9706
#HASH data\ability.dat = 673b6fca
#HASH data\baseclass.dat = 29cb9a9a
#HASH data\classes.dat = 938c79b3
#HASH data\items.dat = 4413b586
#HASH data\monsters.dat = 51ddae4a
#HASH data\races.dat = 2146bb32
#HASH data\specialAbilities.dat = 527f56bd
#HASH data\spells.dat = e3314243
#HASH data\AI_Script.BLK = 95845e0c
#HASH data\Level001 - Copy.lvl = 93989ac3
#HASH data\Level001.lvl = 72bc1f99
#HASH data\Level002.lvl = d79352da
0000000000000d02 02 014100d7 0001521f
0000000000001932 02 00df00f5 00029646
0000000000002148 02 003901d3 0003739f
0000000000002d96 02 00fd00dc 0004bd94
000000000000349e 02 010200d2 00057aa2
0000000000003d68 02 005e01ce 00066cda
00000000000043f8 02 00cb00e5 00072271
000000000000488a 02 00500062 0007a4bc
0000000000004d76 02 004d00de 00082f12
0000000000005ece 02 00fc0173 0009fd17
000000000000659a 01 00000026 000abdcb
000000000000839a 02 012101d2 000dcd69
000000000000c06c 01 00000027 00142f0f
000000000000c2e2 01 00000027 001475b8
000000000000c8a0 01 00000026 0015115d
000000000000cb16 01 00000026 00158853
000000000000cdaa 01 00000027 00160252
000000000000ce5e 01 00000027 00161b74
000000000000d098 01 00000026 00165c0b
000000000000d200 01 00000027 0016b7b0
000000000000d32c 01 00000026 0016dcf6
000000000000d494 01 00000025 0017389b
000000000000d674 01 00000026 00177017
000000000000d980 01 0000000d 0017f752
000000000000db7e 01 00000025 001830c7
000000000000dc50 01 00000025 00184cf2
000000000000dd5e 01 00000026 00186f2f
000000000000de4e 01 00000027 0018beb0
000000000000df7a 01 00000026 0018e3f6
000000000000e0a6 01 00000027 00193989
000000000000e33a 01 00000027 0019833b
000000000000e4a2 01 00000026 0019ae93
000000000000e592 01 00000027 0019fe14
000000000000e628 01 00000027 001a142d
000000000000e736 01 00000026 001a366a
000000000000e826 01 00000025 001a85eb
000000000000e952 01 00000026 001aab31
000000000000ea7e 01 00000025 001b00c4
000000000000ecd6 01 00000025 001b4464
000000000000ee3e 01 00000025 001b6fbc
000000000000ef4c 01 00000026 001b91f9
000000000000f01e 01 00000027 001bde71
000000000000f1c2 01 00000027 001c0fdb
000000000000f294 01 00000026 001c2c06
000000000000f348 01 00000025 001c7575
000000000000f474 01 00000026 001c9abb
000000000000f5a0 01 00000026 001cf04e
000000000000ff5a 01 00000026 001e2372
