#VERSION +0005.2100000000 Remove this line to ignore version
#EditorRunning NO
0000000000000366 ff 00000000 00000000
#SEEDMT 008e2400 0000593d
##Remove one '#' from following line to replay fast
##FASTPLAY 1
#HASH data\config.txt = 4a4b9534
#HASH data\game.dat = e081bb63
#HASH data\ability.dat = 0e5623cb
#HASH data\baseclass.dat = 29cb9a9a
#HASH data\classes.dat = 938c79b3
#HASH data\items.dat = c23ece28
#HASH data\monsters.dat = 2bf7bf04
#HASH data\races.dat = 2146bb32
#HASH data\specialAbilities.dat = 527f56bd
#HASH data\spells.dat = 409eccf7
#HASH data\AI_Script.BLK = 95845e0c
#HASH data\Level001.lvl = 99bba981
#HASH data\Level002.lvl = d79352da
0000000000000366 02 018b0124 0000593d
0000000000000e6a 02 00f400e2 00017f0a
0000000000001284 02 003f005d 0001f531
0000000000001554 02 003c007e 000248e5
0000000000001b4e 02 003900e1 0002ee8c
0000000000002184 02 00fb017d 00039c3a
00000000000025f8 01 00000026 0004203a
0000000000005172 01 00000058 00088ce3
000000000000ce7c 01 0000005b 00156c4f
0000000000015ac2 02 01150003 00239d64
0000000000016896 02 01230180 00250a7c
0000000000016b0c 01 00000053 0025512b
0000000000017070 01 00000053 0025e627
0000000000018df8 01 00000027 0028ec61
000000000001906e 01 00000026 0029330a
000000000001915e 01 00000025 0029828b
0000000000019212 01 00000025 00299bad
00000000000192e4 01 00000026 0029b7d8
00000000000193f2 01 00000027 002a0a62
0000000000019596 01 00000026 002a3bcc
000000000001b33c 01 0000005b 002d424f
000000000001e492 01 0000005b 0032401c
00000000000255a8 02 022e00d0 003db109
00000000000258f0 01 00000058 003e0cf7
0000000000026a84 01 00000044 00400bbb
00000000000272f4 02 00be00c1 0040ebb7
0000000000027a74 02 003500bc 0041ba4b
0000000000027e16 02 0087008f 004224b6
000000000002bb9c 01 0000005b 00486a31
