#VERSION +0005.2600000000 Remove this line to ignore version
#EditorRunning NO
000000000000041a ff 00000000 00000000
#SEEDMT 005f3819 00006b73
##Remove one '#' from following line to replay fast
##FASTPLAY 1
#HASH data\config.txt = 4a4b9534
#HASH data\game.dat = ebc74836
#HASH data\ability.dat = a6d16199
#HASH data\baseclass.dat = 29cb9a9a
#HASH data\classes.dat = 938c79b3
#HASH data\items.dat = 562515bc
#HASH data\monsters.dat = 5d353a33
#HASH data\races.dat = 2146bb32
#HASH data\specialAbilities.dat = a9d8bb00
#HASH data\spells.dat = e3964fbe
#HASH data\AI_Script.BLK = 95845e0c
#HASH data\Level001 - Copy (2).lvl = fbc166ea
#HASH data\Level001 - Copy (3).lvl = 6c6d7a9f
#HASH data\Level001 - Copy.lvl = 93989ac3
#HASH data\Level001.lvl = f5a807ec
#HASH data\Level002.lvl = d79352da
000000000000041a 02 0238002a 00006b73
00000000000012fc 02 010400ea 0001f569
00000000000016f8 01 00000027 00026887
0000000000001860 01 00000025 00029267
0000000000001914 01 00000025 0002aa11
0000000000001b6c 01 00000027 0002ec39
0000000000001cd4 01 00000058 00031619
0000000000001f0e 01 00000028 0003598a
0000000000001fc2 01 00000028 00037134
00000000000021a2 01 0000000d 0003a738
000000000000268e 01 00000045 00042d36
0000000000002a6c 01 00000027 0004b5ec
0000000000002bb6 01 00000025 0004dcc3
0000000000002d5a 01 00000027 00050cb5
0000000000002df0 01 00000027 00052156
0000000000002e4a 01 00000027 00052fe5
0000000000002ec2 01 00000027 0005417d
0000000000002f3a 01 00000027 00055315
0000000000002fd0 01 00000027 000567b6
000000000000300c 01 00000027 0005733c
00000000000033ea 01 00000058 0005dcd9
000000000000367e 01 00000027 00062965
000000000000396c 01 00000025 00067c32
0000000000003ba6 01 00000027 0006bcc9
0000000000003cf0 01 00000025 0006e518
0000000000003da4 01 00000025 0006fe3a
0000000000003e94 01 00000027 00071d6e
0000000000003f48 01 00000027 00073690
0000000000004146 01 00000026 00077115
00000000000041fa 01 00000026 0007bd5a
000000000000466e 01 0000000d 00086901
0000000000004d58 01 00000045 000921f0
0000000000004e66 01 00000051 000947bc
00000000000052bc 01 00000059 0009c284
00000000000056d6 02 00fc00f0 000a37f8
000000000000583e 02 00fd00f4 000a6356
