#VERSION +0005.2100000000 Remove this line to ignore version
#EditorRunning YES
0000000000000294 ff 00000000 00000000
#SEEDMT 0065ef85 000043fe
##Remove one '#' from following line to replay fast
##FASTPLAY 1
#HASH data\config.txt = 4a4b9534
#HASH data\game.dat = e081bb63
#HASH data\ability.dat = 347798dd
#HASH data\baseclass.dat = 29cb9a9a
#HASH data\classes.dat = 938c79b3
#HASH data\items.dat = c23ece28
#HASH data\monsters.dat = 2bf7bf04
#HASH data\races.dat = 2146bb32
#HASH data\specialAbilities.dat = 527f56bd
#HASH data\spells.dat = 409eccf7
#HASH data\AI_Script.BLK = 95845e0c
#HASH data\Level001.lvl = 6888438e
#HASH data\Level002.lvl = d79352da
0000000000000294 02 0173017e 000043fe
00000000000009f6 02 00fb00eb 00010bb4
0000000000000df2 02 00470067 00017ed2
0000000000001662 02 003f00df 00026436
0000000000001d2e 02 00ed017a 00032111
000000000000212a 01 00000027 000398ed
00000000000022ce 01 00000026 0003ca57
00000000000033cc 01 0000000d 0005bd97
0000000000003660 01 00000027 00060639
00000000000036f6 01 00000027 00061c52
000000000000385e 01 00000026 000647aa
0000000000003a20 01 00000025 0006ac6a
0000000000003ab6 01 00000025 0006c283
0000000000003c00 01 00000026 0006ead2
0000000000005190 01 0000000d 0009519b
000000000000754e 01 00000045 000cf530
0000000000007ab2 01 00000058 000d8b49
0000000000007f08 01 00000045 000e055c
00000000000080ac 01 00000051 000e3a55
0000000000008502 01 00000059 000eb51d
0000000000008b38 01 0000000d 000f6133
