#VERSION +0005.2100000000 Remove this line to ignore version
#EditorRunning NO
0000000000000528 ff 00000000 00000000
#SEEDMT 01f5509b 000086c4
##Remove one '#' from following line to replay fast
##FASTPLAY 1
#HASH data\config.txt = 4a4b9534
#HASH data\game.dat = faac9706
#HASH data\ability.dat = d5dd8948
#HASH data\baseclass.dat = 29cb9a9a
#HASH data\classes.dat = 938c79b3
#HASH data\items.dat = bb445749
#HASH data\monsters.dat = 51ddae4a
#HASH data\races.dat = 2146bb32
#HASH data\specialAbilities.dat = 5d627d54
#HASH data\spells.dat = e3314243
#HASH data\AI_Script.BLK = 95845e0c
#HASH data\Level001 - Copy (2).lvl = fbc166ea
#HASH data\Level001 - Copy (3).lvl = 6c6d7a9f
#HASH data\Level001 - Copy.lvl = 93989ac3
#HASH data\Level001.lvl = fcdc7a43
#HASH data\Level002.lvl = d79352da
0000000000000528 02 0167013a 000086c4
0000000000000e2e 02 00d000ea 000178f8
000000000000131a 02 004c0054 0002045e
0000000000001860 02 003c00dc 000297cf
0000000000001f86 02 00fc0178 00035dc5
00000000000027d8 01 00000027 000445ee
00000000000029b8 01 00000027 00047d6a
0000000000002b98 01 00000027 0004b4e6
0000000000002c88 01 00000026 0004d41a
0000000000003606 01 0000000d 0006051a
0000000000003804 01 00000025 00063e8f
00000000000039c6 01 00000026 00067302
0000000000003c1e 01 00000026 0006e6ef
0000000000003de0 01 00000026 00074baf
0000000000003f66 01 00000025 0007aa5d
00000000000040ec 01 00000026 0007d8be
00000000000043da 01 0000000d 00085cf0
0000000000004560 01 00000025 00088a41
00000000000047b8 01 00000026 0008cde1
0000000000005b68 01 00000058 000b0427
0000000000006f36 01 00000059 000d0f93
0000000000007b48 01 00000045 000e5253
00000000000080ac 01 00000051 000ee86c
00000000000087d2 01 00000059 000fac0c
0000000000008c46 01 0000000d 00102a9b
