#VERSION +0005.2100000000 Remove this line to ignore version
#EditorRunning NO
0000000000000384 ff 00000000 00000000
#SEEDMT 00cbfa52 00005c46
##Remove one '#' from following line to replay fast
##FASTPLAY 1
#HASH data\config.txt = 4a4b9534
#HASH data\game.dat = faac9706
#HASH data\ability.dat = 51c41278
#HASH data\baseclass.dat = 29cb9a9a
#HASH data\classes.dat = 938c79b3
#HASH data\items.dat = bb445749
#HASH data\monsters.dat = 51ddae4a
#HASH data\races.dat = 2146bb32
#HASH data\specialAbilities.dat = 24edf472
#HASH data\spells.dat = e3314243
#HASH data\AI_Script.BLK = 95845e0c
#HASH data\Level001 - Copy (2).lvl = fbc166ea
#HASH data\Level001 - Copy (3).lvl = 6c6d7a9f
#HASH data\Level001 - Copy.lvl = 93989ac3
#HASH data\Level001.lvl = 8c1eb390
#HASH data\Level002.lvl = d79352da
0000000000000384 02 01a8011d 00005c46
0000000000000bd6 02 010b00e5 00013c44
0000000000001086 02 005800b7 0001c198
00000000000020b2 02 00420064 00036f4e
0000000000002292 02 0042007f 0003aaba
0000000000003174 02 003f00df 0005370d
0000000000003804 02 00d40172 0005edd6
0000000000003cd2 01 00000025 00067af1
0000000000003d68 01 00000025 0006910a
0000000000003f2a 01 00000027 0006c57d
0000000000004254 01 00000025 00071e5c
00000000000043bc 01 00000027 000749b4
00000000000044ca 01 00000026 00076bf1
0000000000004704 01 0000000d 0007e0c3
000000000000486c 01 00000025 00080b0b
00000000000049d4 01 00000026 00083663
0000000000004c0e 01 00000026 0008a747
0000000000004d58 01 00000027 0008ffe3
0000000000005262 01 00000026 00098952
0000000000005d84 01 00000025 000acd26
00000000000065b8 01 00000025 000bbf14
00000000000066e4 01 00000025 000be40c
0000000000006888 01 00000025 000c13fe
000000000000695a 01 00000026 000c2eb1
0000000000006ae0 01 00000027 000c5b9a
00000000000072f6 01 00000025 000d4955
000000000000738c 01 00000025 000d5f20
0000000000007530 01 00000025 000d8f12
00000000000075e4 01 00000026 000da6bc
0000000000007698 01 00000026 000dbe66
0000000000008d90 01 00000025 001059f1
0000000000009f06 01 0000000d 00123282
000000000000c0e4 01 00000058 0015a63c
000000000000e02e 01 00000059 0018db1a
000000000000e682 01 00000027 0019b73c
000000000000e718 01 00000027 0019cd55
000000000000e952 01 00000026 001a0dec
000000000000ea60 01 00000025 001a6076
000000000000eb6e 01 00000025 001a82b3
000000000000fec4 01 00000025 001c7e6c
000000000000ff5a 01 00000025 001c9485
0000000000010248 01 00000026 001ce752
0000000000010bc6 01 00000058 001e1589
0000000000011238 01 00000059 001ec6f3
0000000000011436 01 00000027 001f04ad
00000000000114cc 01 00000027 001f1ac6
00000000000116ac 01 00000026 001f5242
0000000000012066 01 00000045 00208566
0000000000012444 01 00000051 0020f40a
0000000000012912 01 00000059 00217af6
0000000000012f66 01 0000000d 00222a15
