#VERSION +0005.2100000000 Remove this line to ignore version
#EditorRunning NO
0000000000000168 ff 00000000 00000000
#SEEDMT 0253b6af 000025a4
##Remove one '#' from following line to replay fast
##FASTPLAY 1
#HASH data\config.txt = 4a4b9534
#HASH data\game.dat = faac9706
#HASH data\ability.dat = 16cc7bdf
#HASH data\baseclass.dat = 29cb9a9a
#HASH data\classes.dat = 938c79b3
#HASH data\items.dat = bb445749
#HASH data\monsters.dat = 51ddae4a
#HASH data\races.dat = 8509c3a3
#HASH data\specialAbilities.dat = 2c434b21
#HASH data\spells.dat = e3314243
#HASH data\AI_Script.BLK = 95845e0c
#HASH data\Level001 - Copy (2).lvl = fbc166ea
#HASH data\Level001 - Copy (3).lvl = 6c6d7a9f
#HASH data\Level001 - Copy.lvl = 93989ac3
#HASH data\Level001.lvl = fcdc7a43
#HASH data\Level002.lvl = d79352da
0000000000000168 02 01700134 000025a4
00000000000007da 01 00000041 0000d512
00000000000009d8 01 0000000d 00011319
0000000000000df2 01 00000058 000182c8
000000000000104a 01 00000042 0001cacf
0000000000001266 01 00000027 0002109d
0000000000001338 01 00000027 00022cc8
00000000000014be 01 00000026 00025b29
00000000000017ca 01 00000026 0002e422
000000000000259e 01 00000027 000482a6
0000000000002634 01 00000027 00049747
000000000000279c 01 00000027 0004c127
00000000000028aa 01 0000000d 0004e1ec
0000000000002ea4 01 00000059 00058348
00000000000030de 01 00000027 0005c714
00000000000032a0 01 00000026 0005fb87
0000000000003b2e 01 00000045 00071051
00000000000042ea 01 00000051 0007e31e
00000000000047b8 01 00000059 00086a0a
0000000000004c2c 01 00000059 0008e899
