#VERSION +0005.2100000000 Remove this line to ignore version
#EditorRunning NO
0000000000000654 ff 00000000 00000000
#SEEDMT 0005e016 0000a51e
##Remove one '#' from following line to replay fast
##FASTPLAY 1
#HASH data\config.txt = 4a4b9534
#HASH data\game.dat = 10afd779
#HASH data\ability.dat = 75a28367
#HASH data\baseclass.dat = 29cb9a9a
#HASH data\classes.dat = 938c79b3
#HASH data\items.dat = bb445749
#HASH data\monsters.dat = 51ddae4a
#HASH data\races.dat = 8509c3a3
#HASH data\specialAbilities.dat = 7ba9bddc
#HASH data\spells.dat = e3314243
#HASH data\AI_Script.BLK = 95845e0c
#HASH data\Level001 - Copy (2).lvl = fbc166ea
#HASH data\Level001 - Copy (3).lvl = 6c6d7a9f
#HASH data\Level001 - Copy.lvl = 93989ac3
#HASH data\Level001.lvl = cfab9ea6
#HASH data\Level002.lvl = d79352da
0000000000000654 02 015e00e4 0000a51e
0000000000001068 02 00ec00e3 0001b2a3
00000000000014be 02 0033004a 00022edc
00000000000019e6 02 003100c5 0002bf44
0000000000001cd4 02 003d00ce 00031217
0000000000002670 02 00f10175 000417ca
0000000000002b3e 01 00000025 0004a4e5
0000000000002bf2 01 00000025 0004be07
000000000000302a 01 00000026 00053237
0000000000003318 01 00000026 0005b827
00000000000038b8 01 00000027 00068235
0000000000003a02 01 00000027 0006a90c
0000000000003ad4 01 00000027 0006c3bf
0000000000003c1e 01 0000000d 0006ea96
0000000000003fc0 01 0000000d 00074f3e
0000000000004164 01 00000026 00077ff3
000000000000448e 01 00000027 00080a44
0000000000004524 01 00000027 00081ee5
000000000000468c 01 00000027 000848c5
0000000000004cc2 01 0000000d 0008ef16
0000000000004f74 01 00000027 00093b76
00000000000050dc 01 0000000d 00096556
00000000000058f2 01 00000027 000a3c9f
000000000000596a 01 00000027 000a4e37
0000000000005a1e 01 00000027 000a65e1
0000000000005c3a 01 0000000d 000aa1f7
0000000000005fdc 01 00000027 000b069f
000000000000684c 01 0000000d 000be69b
0000000000006c48 01 00000027 000c53a9
0000000000006db0 01 00000027 000c7d89
0000000000006e46 01 00000027 000c922a
0000000000006f90 01 0000000d 000cb901
00000000000071ac 01 0000000d 000cf634
00000000000077a6 01 0000001b 000d9736
0000000000007d28 01 00000045 000e2b51
00000000000083b8 01 00000058 000edfc4
0000000000009966 01 00000045 00111b0b
0000000000009d44 01 00000051 001189af
0000000000009d62 01 00000057 00119733
000000000000a3f2 01 00000059 0012469f
000000000000a8a2 01 0000000d 0012cb40
