#VERSION +0005.2100000000 Remove this line to ignore version
#EditorRunning NO
0000000000002f76 ff 00000000 00000000
#SEEDMT 00d4c51d 0004ce75
##Remove one '#' from following line to replay fast
##FASTPLAY 1
#HASH data\config.txt = 4a4b9534
#HASH data\game.dat = faac9706
#HASH data\ability.dat = a631a636
#HASH data\baseclass.dat = 29cb9a9a
#HASH data\classes.dat = 938c79b3
#HASH data\items.dat = bb445749
#HASH data\monsters.dat = 51ddae4a
#HASH data\races.dat = 2146bb32
#HASH data\specialAbilities.dat = 7ba9bddc
#HASH data\spells.dat = e3314243
#HASH data\AI_Script.BLK = 95845e0c
#HASH data\Level001 - Copy (2).lvl = fbc166ea
#HASH data\Level001 - Copy (3).lvl = 6c6d7a9f
#HASH data\Level001 - Copy.lvl = 93989ac3
#HASH data\Level001.lvl = 8c1eb390
#HASH data\Level002.lvl = d79352da
0000000000002f76 01 0000000d 0004ce75
000000000000f474 02 00de00e7 0018c38f
000000000000fca8 02 004800b4 0019a3f1
000000000001004a 02 004300de 001a0ce4
00000000000106da 02 00ea017a 001ac3ad
00000000000109e6 01 00000025 001b2341
0000000000010bc6 01 00000026 001b5abd
0000000000010e00 01 0000000d 001bcf8f
000000000001101c 01 00000025 001c0c0d
0000000000011526 01 00000026 001c957c
000000000001168e 01 00000026 001cf121
00000000000117ba 01 00000027 001d46b4
000000000001199a 01 00000026 001d7e30
000000000001287c 01 00000026 001f42ea
0000000000012a3e 01 00000025 001f770f
0000000000013a4c 01 0000004e 00212a0a
000000000001467c 01 00000045 0022702d
000000000001494c 01 00000058 0022be79
000000000001564e 01 0000004e 002419db
00000000000158e2 01 00000027 00246667
0000000000015978 01 00000027 00247b08
0000000000015bb2 01 00000027 0024ba27
0000000000016422 01 0000000d 00259a23
0000000000016a94 01 00000059 002647a3
0000000000016c74 01 00000027 0026b06f
0000000000016d0a 01 00000027 0026c688
0000000000016e36 01 00000026 0026ebce
0000000000016eea 01 00000025 0027353d
000000000001708e 01 00000025 002766a7
00000000000189de 01 00000026 0029fd2b
0000000000019cf8 01 00000026 002c0f63
0000000000019e7e 01 00000025 002c3d76
000000000001a09a 01 00000025 002c798c
000000000001acca 01 00000025 002ddbb6
000000000001c21e 01 00000025 00304ded
000000000001cec6 01 0000000d 0031aa0d
000000000001d2a4 01 00000027 003214c7
000000000001d31c 01 00000027 0032265f
000000000001d3b2 01 00000027 00323b00
000000000001d6fa 01 0000000d 00329570
000000000001dad8 01 00000027 0033002a
000000000001e1e0 01 00000025 0033bbba
000000000001e366 01 0000000d 0033e8a3
000000000001e528 01 00000027 00344a7c
000000000001e5be 01 00000027 00346095
000000000001e6ae 01 00000026 00347fc9
000000000001e79e 01 00000025 0034cf4a
000000000001e852 01 00000025 0034e86c
000000000001f69e 01 00000045 003661a2
000000000001fe3c 01 00000051 00373166
00000000000202b0 01 00000059 0037af37
0000000000020b5c 01 0000000d 00389b0a
