#VERSION +0005.2100000000 Remove this line to ignore version
#EditorRunning NO
000000000000050a ff 00000000 00000000
#SEEDMT 00166d07 000083bb
##Remove one '#' from following line to replay fast
##FASTPLAY 1
#HASH data\config.txt = 4a4b9534
#HASH data\game.dat = faac9706
#HASH data\ability.dat = 39548895
#HASH data\baseclass.dat = 29cb9a9a
#HASH data\classes.dat = 938c79b3
#HASH data\items.dat = bb445749
#HASH data\monsters.dat = 51ddae4a
#HASH data\races.dat = 2146bb32
#HASH data\specialAbilities.dat = 2c434b21
#HASH data\spells.dat = e3314243
#HASH data\AI_Script.BLK = 95845e0c
#HASH data\Level001 - Copy (2).lvl = fbc166ea
#HASH data\Level001 - Copy (3).lvl = 6c6d7a9f
#HASH data\Level001 - Copy.lvl = 93989ac3
#HASH data\Level001.lvl = 7f05de3e
#HASH data\Level002.lvl = d79352da
000000000000050a 02 016900af 000083bb
0000000000012084 01 00000041 001d3a45
0000000000012534 01 0000000d 001dbe1b
000000000001294e 01 00000058 001e2dca
0000000000012be2 01 00000042 001e7be3
0000000000012e58 01 00000027 001ecacc
0000000000012eee 01 00000027 001ee0e5
00000000000130ec 01 00000026 001f1b6a
0000000000013b96 01 00000026 002069ac
0000000000013bb4 01 0000000d 0020a513
0000000000023f28 01 00000058 003aeb87
00000000000243ba 01 00000058 003b6bac
000000000002495a 01 00000059 003c07d7
0000000000024d1a 01 00000045 003c7318
00000000000251ca 01 00000051 003cf6fb
00000000000257c4 01 00000059 003d9c41
0000000000025c56 01 0000000d 003e1dd9
