#VERSION +0005.2100000000 Remove this line to ignore version
#EditorRunning NO
0000000000000456 ff 00000000 00000000
#SEEDMT 023281a5 00007185
##Remove one '#' from following line to replay fast
##FASTPLAY 1
#HASH data\config.txt = 4a4b9534
#HASH data\game.dat = faac9706
#HASH data\ability.dat = 16cc7bdf
#HASH data\baseclass.dat = 29cb9a9a
#HASH data\classes.dat = 938c79b3
#HASH data\items.dat = bb445749
#HASH data\monsters.dat = 51ddae4a
#HASH data\races.dat = 8509c3a3
#HASH data\specialAbilities.dat = 2c434b21
#HASH data\spells.dat = e3314243
#HASH data\AI_Script.BLK = 95845e0c
#HASH data\Level001 - Copy (2).lvl = fbc166ea
#HASH data\Level001 - Copy (3).lvl = 6c6d7a9f
#HASH data\Level001 - Copy.lvl = 93989ac3
#HASH data\Level001.lvl = fcdc7a43
#HASH data\Level002.lvl = d79352da
0000000000000456 02 01bf0150 00007185
00000000000011d0 02 010800e2 0001d70f
00000000000015cc 01 0000000d 00024a2d
0000000000001a22 02 004f00e0 0002bfee
0000000000001e5a 02 004900db 00033424
0000000000002418 02 011a0175 0003d5ae
0000000000002bf2 01 00000027 0004b1b3
0000000000002c88 01 00000027 0004c7cc
0000000000002e86 01 00000026 00050251
000000000000387c 01 00000026 00063e5d
0000000000004326 01 00000058 00078aee
00000000000046c8 01 00000059 0007f380
0000000000004920 01 00000027 00083a55
0000000000004a88 01 00000026 000865ad
0000000000004bb4 01 00000025 0008bb40
0000000000004db2 01 00000025 0008f5c5
0000000000005b86 01 00000026 000a62d7
0000000000006126 01 00000058 000b2ce5
000000000000628e 01 00000045 000b5bcc
000000000000675c 01 00000059 000bddb1
000000000000695a 01 00000045 000c1b6b
0000000000006bb2 01 00000058 000c629a
0000000000006e28 01 00000045 000cac1d
0000000000006fea 01 00000051 000ce41f
000000000000738c 01 00000059 000d4cb1
0000000000007968 02 01ae017d 000defac
0000000000007cce 01 0000000d 000e4ea3
