#VERSION +0005.2100000000 Remove this line to ignore version
#EditorRunning NO
000000000000021c ff 00000000 00000000
#SEEDMT 00ee01fe 000037da
##Remove one '#' from following line to replay fast
##FASTPLAY 1
#HASH data\config.txt = 4a4b9534
#HASH data\game.dat = faac9706
#HASH data\ability.dat = 22be5ebc
#HASH data\baseclass.dat = 29cb9a9a
#HASH data\classes.dat = 938c79b3
#HASH data\items.dat = bb445749
#HASH data\monsters.dat = 51ddae4a
#HASH data\races.dat = 2146bb32
#HASH data\specialAbilities.dat = 7ba9bddc
#HASH data\spells.dat = e3314243
#HASH data\AI_Script.BLK = 95845e0c
#HASH data\Level001 - Copy (2).lvl = fbc166ea
#HASH data\Level001 - Copy (3).lvl = 6c6d7a9f
#HASH data\Level001 - Copy.lvl = 93989ac3
#HASH data\Level001.lvl = cfab9ea6
#HASH data\Level002.lvl = d79352da
000000000000021c 02 019f01a7 000037da
0000000000000b7c 02 010200e1 00013329
000000000000100e 02 005100ba 0001b574
0000000000001392 02 004d00c9 00021b5e
0000000000001a5e 02 00e2017d 0002d839
0000000000001e96 01 00000025 00035627
0000000000002184 01 00000026 0003a8f4
0000000000002328 01 0000000d 00040e99
0000000000002472 01 00000025 000435d8
00000000000025da 01 00000026 00046130
000000000000277e 01 00000026 0004c2e7
000000000000288c 01 00000027 00051571
0000000000002a8a 01 00000026 00054ff6
000000000000358e 01 00000026 000690c1
0000000000003732 01 00000025 0006c1dd
00000000000039e4 01 00000025 00070d20
00000000000045f6 01 0000000d 000858e9
0000000000004dee 01 00000058 00092dde
00000000000056f4 01 0000004e 000a220e
0000000000005b68 01 00000045 000a9f2a
0000000000005fbe 01 00000058 000b14eb
0000000000008034 01 0000000d 000e6823
0000000000008b92 01 00000045 000fc2de
0000000000008e9e 01 00000051 00101c43
0000000000009510 02 007b01cc 0010cdad
00000000000099c0 01 0000000d 001153cc
