#VERSION +0005.2100000000 Remove this line to ignore version
#EditorRunning NO
00000000000003a2 ff 00000000 00000000
#SEEDMT 008da0d6 00005f4f
##Remove one '#' from following line to replay fast
##FASTPLAY 1
#HASH data\config.txt = 4a4b9534
#HASH data\game.dat = faac9706
#HASH data\ability.dat = 353e59d0
#HASH data\baseclass.dat = 29cb9a9a
#HASH data\classes.dat = 938c79b3
#HASH data\items.dat = bb445749
#HASH data\monsters.dat = 51ddae4a
#HASH data\races.dat = 2146bb32
#HASH data\specialAbilities.dat = 527f56bd
#HASH data\spells.dat = e3314243
#HASH data\AI_Script.BLK = 95845e0c
#HASH data\Level001 - Copy (2).lvl = fbc166ea
#HASH data\Level001 - Copy (3).lvl = 6c6d7a9f
#HASH data\Level001 - Copy.lvl = 93989ac3
#HASH data\Level001.lvl = 39993a0b
#HASH data\Level002.lvl = d79352da
00000000000003a2 02 017d0143 00005f4f
0000000000001464 02 00f900e3 000219d5
0000000000001860 02 0037005f 00028cf3
0000000000001c98 02 003d00e4 00030513
00000000000020d0 02 00c60172 00037f28
0000000000002346 02 00d10176 0003c5d7
0000000000002832 01 00000027 000455fb
00000000000028aa 01 00000027 0004690b
0000000000002b02 01 00000026 0004acab
0000000000002df0 01 00000026 0005329b
0000000000003336 01 00000027 0005f501
00000000000033cc 01 00000027 000609a2
0000000000003de0 01 00000026 0007141c
00000000000045d8 01 0000000d 0007e7f4
00000000000048a8 01 00000027 000836a8
0000000000004a10 01 00000026 00086200
0000000000004b96 01 00000025 0008c0ae
0000000000004d3a 01 00000025 0008f218
0000000000004e2a 01 00000026 0009114c
0000000000005244 01 0000000d 0009b558
0000000000005d2a 01 00000045 000ad579
0000000000005e92 01 00000058 000b0460
000000000000655e 01 00000045 000bbe30
0000000000006996 01 00000051 000c35ef
0000000000006dec 02 006d01cc 000cb0b7
0000000000007260 01 00000020 000d30c4
