#VERSION +0005.2100000000 Remove this line to ignore version
#EditorRunning YES
0000000000000546 ff 00000000 00000000
#SEEDMT 005a2247 000089cd
##Remove one '#' from following line to replay fast
##FASTPLAY 1
#HASH data\config.txt = 4a4b9534
#HASH data\game.dat = e081bb63
#HASH data\ability.dat = 347798dd
#HASH data\baseclass.dat = 29cb9a9a
#HASH data\classes.dat = 938c79b3
#HASH data\items.dat = c23ece28
#HASH data\monsters.dat = 2bf7bf04
#HASH data\races.dat = 2146bb32
#HASH data\specialAbilities.dat = 527f56bd
#HASH data\spells.dat = 409eccf7
#HASH data\AI_Script.BLK = 95845e0c
#HASH data\Level001.lvl = 6888438e
#HASH data\Level002.lvl = d79352da
0000000000000546 02 0169018f 000089cd
0000000000000b9a 02 011400fd 00013632
00000000000013ce 01 00000058 00021694
0000000000003a3e 02 00f400e2 000603e2
0000000000003fa2 02 00490066 00069b6c
0000000000004452 02 004400df 00071fb0
0000000000006efa 02 012b017a 000b7d4d
0000000000028596 01 00000027 0041a459
000000000002891a 01 00000026 00420653
0000000000029aae 01 0000000d 004408c0
0000000000029e14 01 00000027 004466a1
0000000000029ec8 01 00000027 00447fc3
000000000002a030 01 00000026 0044ab1b
000000000002a13e 01 00000025 0044fda5
000000000002a1b6 01 00000025 004510b5
000000000002aed6 01 00000026 00466b91
000000000002c2e0 01 00000027 0048aae5
000000000002c592 01 0000000d 0048f628
000000000002c8da 01 00000026 00495100
000000000002c9e8 01 00000027 0049a38a
000000000002caba 01 00000027 0049bfb5
000000000002cbaa 01 00000026 0049dee9
000000000002d6ea 01 0000004e 004b3a9a
000000000002daaa 01 00000026 004ba580
000000000002dc4e 01 00000027 004c0737
000000000002dd02 01 00000027 004c2059
000000000002de88 01 00000026 004c4eba
000000000002eb12 01 0000000d 004dcbce
000000000002ee3c 01 00000027 004e239d
000000000002eed2 01 00000027 004e39b6
000000000002f166 01 00000026 004e8368
000000000002f364 01 00000026 004eee3a
000000000002f472 01 00000027 004f40c4
000000000002f526 01 00000027 004f59e6
000000000002f616 01 00000026 004f791a
000000000002f706 01 00000025 004fc89b
000000000002f7f6 01 00000026 004fe7cf
0000000000031146 01 00000058 00527e05
0000000000031416 01 00000027 0052fe5b
000000000003168c 01 00000026 00534504
0000000000032c3a 01 0000000d 0055aed6
0000000000034ddc 01 00000025 00591bc9
0000000000035052 01 00000027 00596272
00000000000351ba 01 00000027 00598dca
00000000000354a8 01 00000026 0059e097
00000000000355d4 01 00000025 005a362a
000000000003564c 01 00000025 005a493a
00000000000395d0 01 00000027 0060bd34
0000000000039738 01 00000027 0060e88c
0000000000039972 01 00000027 00612923
0000000000039d14 01 00000027 00618e26
000000000003a746 01 00000025 00629d21
000000000003a818 01 00000026 0062b94c
000000000003aa16 01 00000025 0063241e
000000000003aaca 01 00000025 00633d40
000000000003ad5e 01 00000027 006386f2
000000000003aee4 01 00000026 0063b553
000000000003b0e2 01 00000025 00642025
000000000003b178 01 00000025 0064363e
000000000003b268 01 00000025 00645572
000000000003b376 01 00000026 006477af
000000000003b42a 01 00000026 0064c11e
000000000003b51a 01 00000027 0065109f
000000000003b664 01 00000026 006538ee
000000000003b718 01 00000026 0065825d
000000000003b736 01 0000000d 0065bdb7
000000000003b9ca 01 00000027 00660659
000000000003bb50 01 00000026 006634ba
000000000003c03c 01 00000026 0066eb6d
000000000003c1fe 01 00000026 0067502d
000000000003ce2e 01 0000000d 0068c426
000000000003d31a 01 00000026 0069497c
000000000003d3ec 01 00000027 006995f4
000000000003d464 01 00000027 0069a904
000000000003e1c0 01 00000026 006b09f2
000000000003f1b0 01 0000000d 006cdf0b
000000000003f3ae 01 00000026 006d1880
000000000003f4bc 01 00000027 006d6b0a
000000000003f552 01 00000027 006d8123
000000000003f67e 01 00000026 006da669
000000000003fcd2 01 0000000d 006e82a0
00000000000402cc 01 00000045 006f2347
0000000000040614 01 00000058 006f82be
0000000000040632 01 00000043 006f8f8d
0000000000040e66 01 00000058 00706e7e
00000000000419a6 01 00000045 00719ba4
0000000000041f0a 01 00000051 007231bd
0000000000043044 01 00000059 0073fa63
00000000000433e6 02 01d000f6 007463b3
000000000004365c 01 0000000d 0074aa62
