#VERSION +0005.2600000000 Remove this line to ignore version
#EditorRunning NO
0000000000000744 ff 00000000 00000000
#SEEDMT 000e2575 0000bd66
##Remove one '#' from following line to replay fast
##FASTPLAY 1
#HASH data\config.txt = 4a4b9534
#HASH data\game.dat = ebc74836
#HASH data\ability.dat = 1a6ab45f
#HASH data\baseclass.dat = 29cb9a9a
#HASH data\classes.dat = 938c79b3
#HASH data\items.dat = 562515bc
#HASH data\monsters.dat = 5d353a33
#HASH data\races.dat = 2146bb32
#HASH data\specialAbilities.dat = a9d8bb00
#HASH data\spells.dat = e3964fbe
#HASH data\AI_Script.BLK = 95845e0c
#HASH data\Level001 - Copy (2).lvl = fbc166ea
#HASH data\Level001 - Copy (3).lvl = 6c6d7a9f
#HASH data\Level001 - Copy.lvl = 93989ac3
#HASH data\Level001.lvl = 49172136
#HASH data\Level002.lvl = d79352da
0000000000000744 02 02320099 0000bd66
0000000000000ec4 02 011a00fc 00018825
0000000000001680 02 006301cf 00025c63
0000000000002f76 01 00000058 000508eb
00000000000036f6 01 00000025 0005d4f1
00000000000039e4 01 00000027 000627be
0000000000003ad4 01 00000027 000646f2
0000000000003dc2 01 00000026 000699bf
0000000000004056 01 00000026 00071694
0000000000009e52 01 0000004e 0010d117
000000000000b25c 01 00000027 0012e1e0
000000000000b34c 01 00000027 00130114
000000000000b4d2 01 00000026 00132f75
000000000000b658 01 00000025 00138e23
000000000000b70c 01 00000025 0013a745
000000000000c1b6 01 00000026 0014c264
00000000000202ce 01 0000000d 00357709
000000000002077e 01 00000027 0035f64d
0000000000020832 01 00000027 00360f6f
0000000000020bb6 01 00000027 00367169
0000000000020ce2 01 00000027 003696af
0000000000020f76 01 00000020 0036e061
0000000000021e1c 01 0000000d 0038940a
0000000000023460 01 00000020 003ada94
0000000000023c94 01 0000000d 003be74e
