#VERSION +0005.2600000000 Remove this line to ignore version
#EditorRunning NO
00000000000003fc ff 00000000 00000000
#SEEDMT 00541f95 0000686a
##Remove one '#' from following line to replay fast
##FASTPLAY 1
#HASH data\config.txt = 4a4b9534
#HASH data\game.dat = d2c7e88f
#HASH data\ability.dat = 61ca5a0f
#HASH data\baseclass.dat = 29cb9a9a
#HASH data\classes.dat = 938c79b3
#HASH data\items.dat = 562515bc
#HASH data\monsters.dat = 23a2fa0d
#HASH data\races.dat = 2146bb32
#HASH data\specialAbilities.dat = a9d8bb00
#HASH data\spells.dat = e3964fbe
#HASH data\AI_Script.BLK = 95845e0c
#HASH data\Level001 - Copy (2).lvl = fbc166ea
#HASH data\Level001 - Copy (3).lvl = 6c6d7a9f
#HASH data\Level001 - Copy.lvl = 93989ac3
#HASH data\Level001.lvl = bd230988
#HASH data\Level002.lvl = d79352da
00000000000003fc 02 0218013f 0000686a
0000000000000ca8 01 0000004c 00015183
0000000000000e88 01 00000043 00018c81
00000000000013b0 01 00000058 0002369a
0000000000001662 01 00000027 0002862f
0000000000001914 01 00000026 0002d2ea
0000000000001ed2 01 00000026 0003a1b2
0000000000002418 01 0000000d 00046298
00000000000031ce 01 0000000d 0005cb29
0000000000003624 01 00000025 00064152
00000000000036ba 01 00000025 0006576b
00000000000038b8 01 00000026 000691f0
0000000000003af2 01 00000027 000702d4
0000000000003b88 01 00000027 000718ed
0000000000003c96 01 00000026 00073b2a
00000000000048c6 01 00000020 0008af23
0000000000004c2c 01 00000020 00090c9c
0000000000005280 01 0000000d 0009b5f6
0000000000005c58 01 0000000d 000aba5e
0000000000006e82 01 00000025 000c96ad
0000000000006f18 01 00000025 000cacc6
0000000000007044 01 00000026 000cd20c
0000000000007170 01 00000027 000d279f
0000000000007206 01 00000027 000d3db8
00000000000074b8 01 00000026 000d8a73
00000000000077a6 01 0000000d 000e0ea5
0000000000007ad0 01 0000000d 000e660c
0000000000007eea 01 00000027 000ed623
0000000000007f80 01 00000027 000eec3c
0000000000008124 01 00000026 000f1da6
000000000000839a 01 00000025 000f949c
0000000000008430 01 00000025 000faab5
0000000000008d72 01 00000045 0010a168
0000000000009600 01 00000051 00118974
00000000000098ee 01 0000000d 0011dfd0
